Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
02/04/2026,DEB,30-99-12,12345678,TESCO STORES 3411 LEEDS,38.92,,1461.08
03/04/2026,DEB,30-99-12,12345678,GREGGS THE BAKERS LEEDS,3.20,,1457.88
05/04/2026,DD,30-99-12,12345678,BRITISH GAS ENERGY,82.15,,1375.73
07/04/2026,FPI,30-99-12,12345678,ACME LTD SALARY APR,,2380.55,3756.28
09/04/2026,DEB,30-99-12,12345678,TFL TRAVEL CHARGE TFL.GOV.UK,6.60,,3749.68
12/04/2026,DEB,30-99-12,12345678,NETFLIX.COM 866-579-7172,10.99,,3738.69
14/04/2026,SO,30-99-12,12345678,TRANSFER TO SAVINGS,250.00,,3488.69
17/04/2026,DEB,30-99-12,12345678,SAINSBURYS S/MKT HARROGATE,45.30,,3443.39
20/04/2026,DEB,30-99-12,12345678,AMAZON UK MARKETPLACE,27.99,,3415.40
23/04/2026,DD,30-99-12,12345678,VODAFONE LTD,28.00,,3387.40
27/04/2026,DEB,30-99-12,12345678,COSTA COFFEE 1182 LEEDS,3.85,,3383.55
01/05/2026,DEB,30-99-12,12345678,SHELL FUEL STATION A1,52.40,,3331.15
04/05/2026,FPI,30-99-12,12345678,FROM A FRIEND REFUND,15.00,,3346.15
08/05/2026,DEB,30-99-12,12345678,MORRISONS PETROL WAKEFIELD,40.10,,3306.05
12/05/2026,DD,30-99-12,12345678,COUNCIL TAX LEEDS CC,148.00,,3158.05
15/05/2026,DEB,30-99-12,12345678,PRET A MANGER LONDON,8.45,,3149.60
